Cedar City, UT: Cedar City Regional,CDC,1668
Brainerd, MN: Brainerd Lakes Regional,BRD,1659
Pellston, MI: Pellston Regional Airport of Emmet County,PLN,1641
Garden City, KS: Garden City Regional,GCK,1638
Gillette, WY: Gillette Campbell County,GCC,1633
Hobbs, NM: Lea County Regional,HOB,1630
Watertown, NY: Watertown International,ART,1541
Mobile, AL: Mobile Downtown,BFM,1504
Waterloo, IA: Waterloo Regional,ALO,1491
Rock Springs, WY: Southwest Wyoming Regional,RKS,1477
Branson, MO: Branson Airport,BKG,1451
Iron Mountain/Kingsfd, MI: Ford,IMT,1405
Petersburg, AK: Petersburg James A Johnson,PSG,1394
Del Rio, TX: Del Rio International,DRT,1391
Eau Claire, WI: Chippewa Valley Regional,EAU,1376
Meridian, MS: Key Field,MEI,1366
Hibbing, MN: Range Regional,HIB,1363
Williamsport, PA: Williamsport Regional,IPT,1336
Elko, NV: Elko Regional,EKO,1301
Escanaba, MI: Delta County,ESC,1243
Kearney, NE: Kearney Regional,EAR,1228
Laramie, WY: Laramie Regional,LAR,1216
Hancock/Houghton, MI: Houghton County Memorial,CMX,1214
Owensboro, KY: Owensboro Daviess County Regional,OWB,1204
Muskegon, MI: Muskegon County,MKG,1188
Dickinson, ND: Dickinson - Theodore Roosevelt Regional,DIK,1153
Cordova, AK: Merle K Mudhole Smith,CDV,1116
Prescott, AZ: Prescott Regional Ernest A Love Field,PRC,1110
Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field,BFF,1089
Unalaska, AK: Unalaska Airport,DUT,1073
Williston, ND: Williston Basin International,XWA,1042
Ogden, UT: Ogden-Hinckley,OGD,1028
Gunnison, CO: Gunnison-Crested Butte Regional,GUC,977
Wrangell, AK: Wrangell Airport,WRG,957
North Platte, NE: North Platte Regional Airport Lee Bird Field,LBF,955
Cheyenne, WY: Cheyenne Regional/Jerry Olson Field,CYS,951
Paducah, KY: Barkley Regional,PAH,942
Alpena, MI: Alpena County Regional,APN,884
Hays, KS: Hays Regional,HYS,865
Staunton, VA: Shenandoah Valley Regional,SHD,828
Mammoth Lakes, CA: Mammoth Lakes Airport,MMH,762
International Falls, MN: Falls International Einarson Field,INL,744
Pueblo, CO: Pueblo Memorial,PUB,736
Pierre, SD: Pierre Regional,PIR,707
Salina, KS: Salina Regional,SLN,706
Presque Isle/Houlton, ME: Presque Isle International,PQI,662
Vernal, UT: Vernal Regional,VEL,653
Kenai, AK: Kenai Municipal,ENA,645
Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional,PIB,645
Cape Girardeau, MO: Cape Girardeau Regional,CGI,615
King Salmon, AK: King Salmon Airport,AKN,612
Dillingham, AK: Dillingham Airport,DLG,587
Quincy, IL: Quincy Regional-Baldwin Field,UIN,552
Jamestown, ND: Jamestown Regional,JMS,543
Moab, UT: Canyonlands Field,CNY,525
Yakutat, AK: Yakutat Airport,YAK,525
Watertown, SD: Watertown Regional,ATY,493
North Bend/Coos Bay, OR: Southwest Oregon Regional,OTH,478
Hoolehua, HI: Molokai,MKK,462
Liberal, KS: Liberal Mid-America Regional,LBL,421
Hyannis, MA: Barnstable Municipal-Boardman/Polando Field,HYA,415
Devils Lake, ND: Devils Lake Regional,DVL,396
Lewisburg, WV: Greenbrier Valley,LWB,395
Homer, AK: Homer Airport,HOM,383
Lanai, HI: Lanai Airport,LNY,375
West Yellowstone, MT: Yellowstone,WYS,306
Kapalua, HI: Kapalua Airport,JHM,282
Lebanon-Hanover, NH: Lebanon Municipal,LEB,214
Marion/Herrin, IL: Veterans Airport of Southern Illinois,MWA,195
Augusta/Waterville, ME: Augusta State,AUG,185
Gustavus, AK: Gustavus Airport,GST,172
Bar Harbor, ME: Hancock County-Bar Harbor,BHB,163
Adak Island, AK: Adak,ADK,154
Victoria, TX: Victoria Regional,VCT,127
Alamosa, CO: San Luis Valley Regional/Bergman Field,ALS,124
Telluride, CO: Telluride Regional,TEX,124
Dodge City, KS: Dodge City Regional,DDC,119
Provincetown, MA: Provincetown Municipal,PVC,118
Rutland, VT: Rutland - Southern Vermont Regional,RUT,114
Rockland, ME: Knox County Regional,RKD,113
