4Y,1173,WNA,9739,PKA,9744,,0,CNA,7 
4Y,1173,WTL,7099,KKH,7213,,0,CNA,28 
4Y,1173,WWT,8203,BET,3599,,0,CNA,95 
7H,16726,ABL,7177,OTZ,3693,Y,0,CNC,130 
7H,16726,ABL,7177,SHG,7117,Y,0,CNC,23 
7H,16726,ADQ,3531,ANC,3774,,0,DH8 BE1,253 
7H,16726,AIN,7220,ATK,6714,Y,0,CNC,60 
7H,16726,AIN,7220,BRW,3571,Y,0,BE1 CNC,86 
7H,16726,AKI,7217,KKI,9742,Y,0,CNA,9 
7H,16726,AKI,7217,TLT,7218,Y,0,CNA,16 
7H,16726,ANC,3774,ADQ,3531,,0,DH8 BE1,253 
7H,16726,ANC,3774,ANI,5967,,0,BE1 DH8,318 
7H,16726,ANC,3774,BET,3599,,0,DH8,399 
7H,16726,ANC,3774,CDV,3610,,0,BE1,160 
7H,16726,ANC,3774,ENA,3628,,0,BE1 DH8,59 
7H,16726,ANC,3774,FAI,3832,,0,DH8 BE1,261 
7H,16726,ANC,3774,HOM,3664,,0,BE1 DH8,117 
7H,16726,ANC,3774,KSM,6718,,0,DH8,442 
7H,16726,ANC,3774,UNK,7088,,0,DH8,393 
7H,16726,ANC,3774,VDZ,3865,,0,DH8 BE1,126 
7H,16726,ANI,5967,ANC,3774,,0,BE1 DH8,318 
7H,16726,ANI,5967,CHU,7091,Y,0,CNA,11 
7H,16726,ANI,5967,HCR,5962,Y,0,CNC,43 
7H,16726,ANI,5967,KLG,5964,Y,0,CNA CNC,27 
7H,16726,ANI,5967,RSH,7098,Y,0,CNA,60 
7H,16726,ANI,5967,SHX,7090,Y,0,CNC,77 
7H,16726,ANV,6713,HCR,5962,Y,0,CNC,34 
7H,16726,ANV,6713,KGX,7219,Y,0,CNC,17 
7H,16726,ATK,6714,AIN,7220,Y,0,CNC,60 
7H,16726,ATK,6714,BRW,3571,Y,0,CNC,59 
7H,16726,ATT,4385,BET,3599,Y,0,CNA,16 
7H,16726,AUK,7199,EMK,7087,Y,0,CNA,10 
7H,16726,AUK,7199,SXP,7200,Y,0,CNA,12 
7H,16726,BET,3599,ANC,3774,,0,DH8,399 
7H,16726,BET,3599,CYF,6960,Y,0,CNA,95 
7H,16726,BET,3599,EEK,7093,Y,0,CNA,40 
7H,16726,BET,3599,HPB,6716,Y,0,CNA,153 
7H,16726,BET,3599,KKH,7213,Y,0,CNA,67 
